metric,k,mean_within_var_topk,mean_within_var_bottomk,auc_abs_diff_mean_curves,quality_ratio
Leaderboard,5,0.0006644961434655308,0.011177039770213188,0.7789976545388669,131.57037399302897
Safety,5,0.0007484896041080022,0.011177039770213188,0.7763680510369265,130.2026981843588
ECE,5,0.0007748276542922012,0.011177039770213186,0.7772508559471422,130.0635002398789
Focus,5,0.0006363801053115204,0.0143282658942453,0.7635051748661454,102.0411942636953
Math,5,0.004341486047720862,0.045430434075089746,0.6885451370598978,27.6680158343607
Factuality,5,0.002063190188439558,0.044942563394492326,0.5988721255836038,25.480800962015753
Ties,5,0.0017201299519082384,0.060796348107125156,0.5962126159226186,19.07377492828531
